"sz300251"    "光线传媒"
"sz300206"    "理邦仪器"
"sz002772"    "众兴菌业"
"sz300009"    "安科生物"
"sz000531"    "穗恒运Ａ"
"sz002516"    "旷达科技"
"sz002561"    "徐家汇"
"sz000938"    "紫光股份"
"sz002568"    "百润股份"
"sz002402"    "和而泰"
"sz300239"    "东宝生物"
"sz002037"    "保利联合"
"sz002500"    "山西证券"
"sz002266"    "浙富控股"
"sz300184"    "力源信息"
"sz300950"    "德固特"
"sz000021"    "深科技"
"sz300582"    "英飞特"
"sz000672"    "上峰水泥"
"sz002593"    "日上集团"
"sz002042"    "华孚时尚"
"sz000155"    "川能动力"
"sz002571"    "德力股份"
"sz002435"    "长江健康"
"sz000637"    "茂化实华"
"sz000056"    "皇庭国际"
"sz000525"    "ST红太阳"
"sz000702"    "正虹科技"
"sz002076"    "*ST雪莱"
"sz000751"    "锌业股份"
"sz000718"    "苏宁环球"
"sz002739"    "万达电影"
"sz002443"    "金洲管道"
"sz002495"    "佳隆股份"
"sz000731"    "四川美丰"
"sz000636"    "风华高科"
"sz001330"    "博纳影业"
"sz002737"    "葵花药业"
"sz002746"    "仙坛股份"
"sz300020"    "银江技术"
"sz000514"    "渝 开 发"
"sz000546"    "金圆股份"
"sz002482"    "ST广田"
"sz002362"    "汉王科技"
"sz000791"    "甘肃电投"
"sz002005"    "ST德豪"
"sz300408"    "三环集团"
"sz000895"    "双汇发展"
"sz002434"    "万里扬"
"sz000036"    "华联控股"
"sz002678"    "珠江钢琴"
"sz300303"    "聚飞光电"
"sz300360"    "炬华科技"
"sz300336"    "*ST新文"
"sz002761"    "浙江建投"
"sz000533"    "顺钠股份"
"sz300257"    "开山股份"
"sz002377"    "国创高新"
"sz300390"    "天华超净"
"sz002515"    "金字火腿"
"sz300021"    "大禹节水"
"sz002484"    "江海股份"
"sz000622"    "恒立实业"
"sz300747"    "锐科激光"
"sz300777"    "中简科技"
"sz002752"    "昇兴股份"
"sz002264"    "新 华 都"
"sz300567"    "精测电子"
"sz000401"    "冀东水泥"
"sz300482"    "万孚生物"
"sz002706"    "良信股份"
"sz002300"    "太阳电缆"
"sz300457"    "赢合科技"
"sz300634"    "彩讯股份"
"sz002483"    "润邦股份"
"sz002164"    "宁波东力"
"sz001696"    "宗申动力"
"sz000726"    "鲁 泰Ａ"
"sz300566"    "激智科技"
"sz301175"    "中科环保"
"sz002428"    "云南锗业"
"sz300177"    "中海达"
"sz002476"    "宝莫股份"
"sz000682"    "东方电子"
"sz002219"    "新里程"
"sz002601"    "龙佰集团"
"sz002237"    "恒邦股份"
"sz300093"    "金刚光伏"
"sz300443"    "金雷股份"
"sz000409"    "云鼎科技"
"sz301215"    "中汽股份"
"sz300677"    "英科医疗"
"sz002265"    "西仪股份"
"sz002352"    "顺丰控股"
"sz002049"    "紫光国微"
"sz002479"    "富春环保"
"sz002282"    "博深股份"
"sz000958"    "电投产融"
"sz000922"    "佳电股份"
"sz000897"    "津滨发展"
"sz000007"    "全新好"
"sz002395"    "双象股份"
"sz300048"    "合康新能"
"sz300401"    "花园生物"
"sz003023"    "彩虹集团"
"sz002133"    "广宇集团"
"sz300317"    "珈伟新能"
"sz300735"    "光弘科技"
"sz300420"    "五洋停车"
"sz300415"    "伊之密"
"sz300074"    "华平股份"
"sz300066"    "三川智慧"
"sz002267"    "陕天然气"
"sz300167"    "迪威迅"
"sz002382"    "蓝帆医疗"
"sz300209"    "天泽信息"
"sz000151"    "中成股份"
"sz000737"    "北方铜业"
"sz300872"    "天阳科技"
"sz300520"    "科大国创"
"sz002620"    "瑞和股份"
"sz000555"    "神州信息"
"sz300647"    "超频三"
"sz002180"    "纳思达"
"sz002783"    "凯龙股份"
"sz002419"    "天虹股份"
"sz300161"    "华中数控"
"sz300301"    "*ST长方"
"sz300278"    "华昌达"
